text,sentiment,hate_speech
"на работе был полный пиддес :| и так каждое закрытие месяца, я же свихнусь так D:",-1,0
"Коллеги сидят рубятся в Urban terror, а я из-за долбанной винды не могу :(",-1,1
@elina_4post как говорят обещаного три года ждут...((,-1,0
"Желаю хорошего полёта и удачной посадки,я буду очень сильно скучать( http://t.co/jCLNzVNv3S",-1,0
"Обновил за каким-то лешим surf, теперь не работает простоплеер :(",-1,0
"Котёнка вчера носик разбила, плакала и расстраивалась :(",-1,0
"@juliamayko @O_nika55 @and_Possum Зашли, а то он опять затихарился, я прямо физически страдаю, когда он долго молчит!(((",-1,0
а вообще я не болею -  я не выздоравливаю :(,-1,0
я микрофраза :( учимся срать кирпичами в режиме &amp;quot;нон-стоп&amp;quot; @niwoqisipapy,-1,1
"я хочу с тобой помириться , но сука я гордая и никогда этого не сделаю! (((",-1,2
@DNO_OKEANA_A3A3 @MOE_MOPE_A3A3 тебя ебет какие у меня фотки.я про твои молчу.и вообще ты хоть знаешь как ТП то выглядят...,-1,3
Блин начали сниться сны( Не когда почти не снились ! А теперь можно сказать каждый день такое ! Мне это не нравиться ((((((((((,-1,0
"@realVold На твоем месте, я бы сначала телек купил бы(",-1,0
@faraonbgr111 плохо боишься значит(( ты где? В мск бгр?,-1,0
А я хотела... электромобиль =( http://t.co/vgs9JeUPHz,-1,0
Скоро увижу твои зеленые глаза в последний раз(((,-1,0
"Вот это да, докатился,по-оранжевел патриот! Чо деется? :(( RT @SapelSV: #Бабки объединят #КПРФ и Навального? http://t.co/kyJk4A79kv",-1,2
Ну уже 12:25 ночииии:(((( а я ничего не сделалаллалалалалалалвцмдэмппдпктцдкиицкп,-1,0
"@190299der я очень рада,но ты им разобьешь сердца:( Мне их  жалко епт мне оч жалко Влада А всех остальных нет ",-1,1
"Сегодня какой-то нехороший день у меня :-( Телефон наушники не опознает, у блога как-то умудрился шаблон сломать, да еще",-1,0
"думаю,на моем веку почта россии не поднимется со дна (((",-1,0
Мне одному   напоминает дом-2? Путин делает реалити-шоу? O_o,-1,0
ебааааа сейчас модуль будет по региональной экономике ((,-1,1
@kordalona_mars оооууу ты меня анфолловил чувак((,-1,0
вот так я встречаю зиму:(( http://t.co/FjivXAGcR9,-1,0
"@Kyo_oppa ну вот, туда медведь прикреплялся.",-1,0
чорт... хотела сходить в кино...  придется любоваться фильмом в уг качестве на компе(,-1,0
RT @arinaaaaonskul: Так плохо я себя не чувствовала давно :( ,-1,0
"Как понизить температуру ноута? Снаружи +30, так что он постоянно раскалённый :(",-1,0
@Anastasia_pain думаешь упаду со стула? :(,-1,0
"@Deniska_perm да нет, но условия будут более спартанские :(",-1,0
"Хотела маме сделать сюрприз, как всегда все навернулось(",-1,0
я блин сутками его жду а он с друзьями общаться! с которыми ежедневно видится! :(,-1,0
@Annya_Nik @YankaMurygina Так и думал:(  Не судьба походу попасть к мастерам,-1,0
RT @davidmsk: У берегов Коста-Рики водятся 1600 видов рыб. А на берег выходят черепахи весом до 500 кг. Но я не видел :( http://t.co/9ixMBH…,-1,0
"""@lisi_Ca: @maybe_reg49_27 @One_ENCLAVE @LyudaLa самая смешная из лисичек - тибетская. Это не фотошоп http://t.co/kDDYZartwl"" о_О",-1,0
Потеряла креапления от борда. Как так! Я же их не снимала(,-1,0
RT @Ksenyamalischev: Устала от семинара;(,-1,0
"Опять простыла....!!!;(Все гуляют,катают,тусуют,а я!;(((Что за невезение!!!",-1,0
"@1libertad первые деньги пойдут на красные мокасины, потом на ремень гермес, потом на приору, а потом уже можно умереть :-/",-1,0
@volkova_v Мясорубка пожирает деньги налогоплательщиков... (((,-1,0
"@_rakka_ @brovo4ka а я не переношу соционику. это самый адовый бред, что я видел. и все как один помешались((",-1,1
"Пора делать уроки, учить Лермонтова ;( http://t.co/CShrNmfFCL",-1,0
"@Romashka_Vera блин, он наверно уже не действителен уже( сама хочу там заказ сделать, а скидки нет(",-1,0
"Я так хотела побыстрее попробывать сырный суп,что обожгла весь язык,и вообще ни чего не чувствую(",-1,0
Внезапно настало лето? Дома из обоих кранов течёт холодная вода. :-/,-1,0
@natahin_ кто из СМИ первее - на того и ссылка в поисковике :(,-1,0
"@the_anechnaya @babooshkina блин, а мне халвы захотелось(",-1,0
@only_069 ДА  ВОСПАЛЕНИЕ ЛЕГКИХ Я ПОЧТИ 2 НЕДЕЛИ В БОЛЬНИЦЕ ЛЕЖАЛА ( И В ТВИ ТОЖ НИ ЗАХОДИЛА,-1,0
"Каждое его смс,как доза. Что вообще со мной происходить?; (",-1,0
ну ужели выхадныеееееееееееееееееееее правда пролетят будто их и не было вообще (((((((((((((((,-1,0
Задолбали дико резкие перепады настроения &gt;:(,-1,1
RT @NastyaBulaeva: Угадайте чья школа учится сегодня? Причем единственная в области:(,-1,0
"Сегодня первый рабочий день. Я настроена и готова ? Конечно готова, в одеяле - хоть куда. Заболела :(",-1,0
"@siavol так и медстраховки ещё хорошей нет?! Как они там жили! Наверное, паспорта отобрали, взамен что-то дали и заставили трудиться :(",-1,0
У на в шк создали группу в ВК и там все новости школы. Ито какойто злоебучий аноним. Не дает жизни ибо выдает все тайны o_O,-1,3
с   убрали поиск персонажей что ли? паника-паника!!! а ведь как удобно было :(,-1,0
"все в скайп идут, а я стесняюсь блянуок(((",-1,0
"Выпилил powerpill и perl-xyne-arch из своего Арча, разработчик отказался от их поддержки, а жаль( #archlinux",-1,0
@cheknastushka да. она офигенная. вот я по ней буду очень скучать(,-1,0
идиотский твиттер!! как же ты глючишь.. ;(,-1,2
RT @procrastelina: RT если ниже ростом даже чем губин((((,-1,0
"@kakos1904 Бедный мой, ты же в школе. Твоя физика закончится раньше чем я до тебя доеду :( Я б забрал",-1,0
"Спасибо тем кто меня в данный момент поддерживает с моей проблемой,спасибо правда,спасибо тебе ни кто(",-1,0
"а если макарошки отварить и запечь с луком,морковкой,майонезом,чесноком и всякими приправками,будет ОМНОМНОМ! *О* сыра нет,жаль(",-1,0
"завтра по химии диктант, нужно хорошо подготовиться(",-1,0
"Сейчас бы в кроватку, спать ( а ещё дофигища дел не сделано -_-",-1,0
@No_Name_Okay_ мне обязательно!( в 19:30 начинается.. Может пойдём сейчас и потом ты меня проводишь?,-1,0
"мария ра самые убогие магазины, в который раз убеждаюсь. Еще 2 часа работы(",-1,2
"Зря торопился, все равно прийдется в выходные работать :(",-1,0
RT @v_rodionov1015: @RadiopAshA @sangdrag а сколько баранов вслед за ним несётся! ((((,-1,2
"Пойду делать дела,а то времени все меньше и меньше((",-1,0
Какой будет эта зима? — разочаровательной( http://t.co/CYXetATzIB,-1,0
Конечно сегодняшняя математика вынесла мне мозг=(,-1,0
Интересно как сдавать математический анализ как препод такая тварина?=(,-1,0
RT @levolume: амазон( http://t.co/yEC1tZCUVG,-1,0
Черт... Как же стремно на олимпиаде сидеть((,-1,0
"@bahhtee Ну как, вам понравилось в Ташкенте? Жаль что я узнала об этом после вашего ухода :(",-1,0
"@juliamayko У кота, между прочим, может случится и сердечный приступ, если ситуация его пугает и он не знает, что с ним будет!(((((",-1,0
RT @alexblablablaaa: Какой декабрь без снежкаа?;(,-1,0
"RT @huqikycibeno: Гг, давно я не видел выньду 98... комп уныл ...И сюда ставлю хрюшу... Уже 2ой час пошел :(",-1,0
"Каждый раз,когда Ларри общаются по скайпу:  Г:Я хочу,чтобы ты был тут со мной Л:Я тоже :( Скучаю по тебе http://t.co/fWjKiYrMkW",-1,0
"ну вот.все началось сначала.умом понимаю что всё уже,поздно..но не могу и всё =((",-1,0
RT @o_odium: разговоры с Кириллом - просто нечто ахах,-1,0
"Мой маленький Никита я буду всегда тебя любить помним Любим,скорбим;(",-1,0
"Блин, мой живот не дает мне покоя весь день :(",-1,0
@Ludwig_LOL желочь из живота будут выливать(,-1,0
Иду сегодня на задание от практики. Я так переживаю... :(,-1,0
Только я могу упасть со стола пока перевешиваю 10-ый раз гирлянды.Больно=(,-1,0
"RT @TOMOCYTPA: @Do_or_die_azaz я убью её когда-нибудь, наверно Я убью её, люблю её, убью её...",-1,3
Болею( прошу сходить за лекарствами  ни кто не идет (,-1,0
"@AnnastaishaCh я решила, шо ты забыла меня поздравить :(((",-1,0
Пришла такая кудрявая .. а его не было( http://t.co/uCPlmdPQT0,-1,0
"@farida_farifari мля, спасибо, теперь я ни знаю чиво делать ска :(",-1,0
Не люблю пятницу-субботу...в эти дни мы не вмести...я скучаю любимый(,-1,0
@AseevaElena бедолага! Пусть выздоравливает... Их так жалко когда они болеют:-((,-1,0
"Мне уже плохо от ТГП. А вопросы все не прекращаются, хотя места в голове уже нет(",-1,0
"еще днем почувствовала дикое одиночество,а когда Паша уехал вообще как будто одна на планете осталась(",-1,0
"RT @radughniy_kot: Вечеринка, привет о/ хотя тебе насрать((((9((999(",-1,2
“@lizunsosun: Поговоришь с Сашей и сразу хочется трахаться.” - представляете как мне сложно с самим с собой жить??? А толку?:(,-1,0
"блин если правильно ей играть,много барэ,а его я не люблю(",-1,0
"RT @malinaaa_a: @hl483 ;( просто одно объяснение, мы живем в России",-1,1
"Здавать,доздавать,перездавать....хуууф це вже так надоїло,вже не має й сил((",-1,0
"Что творится с миром? Новости сплошь о педофилах, печально и возмутительно ((",-1,0
"проверяли сеня больнички, ничего хорошего. Чувствую все закроют(",-1,0
"@VictoriaSvon ветер сильный, так еще и снег сегодня, из дома не выйти :(",-1,0
":| они тут решают, смеются... Я тоже хочу :|",-1,0
"Нет ничего печальнее,  когда закончилась книга :(",-1,0
"@mrkam1kadze меня одолевает лень,но фак надо(",-1,0
@AppleInsider_ru и опять нет приложения для андрода?(,-1,0
"Меня никто не любит,потому что я очкарик:(",-1,0
"RT @Ksenia_Splash: оооочень устала, уроки тянулись вечность! ещё на гитару(((",-1,0
Сегодня был очень слодный день(( Все в коледже ревели((( Ох уж эти парни,-1,0
"на улице снег, радость, магия. В школе посвящение в химики, кхм....да простят меня святые печенюшки детский девиз. А я блин умираю дома(((((",-1,0
"Я попал в золотую лигу 4х4 O_O При том, что 1х1 я в бронзовой. Меня же союзники убьют. Узнают по айпишнику, где я живу, п",-1,2
@genechk нет!!! Мысль об этом и желание убить себя по этому поводу меня не покидают(((,-1,0
"@wild_tourist @drewitski Я вот почти никогда на бумаге и не пишу, можно сказать, забыла, как это делается... Ну, вот так вот(((",-1,0
"Вот взяли с утра и наехали ни за что :( Сижу себе жуйк читаю. Звонок в отдел. Поднимаю трубку, разговариваю, ложу трубку.",-1,0
@Creatticas вот он. Эх(( http://t.co/glr9mG0cjZ,-1,0
Купила меллер внезапно. Ебааать!.. О мои зубы! ((,-1,0
"Блин, блин, блин Надеюсь успею к спринту:|",-1,0
@A_Kyznetsova я косячу и не переживаю по этому поводу((,-1,0
"Мы пишем статус на обозрение тысячам, / и зачастую всего лишь для одного / человека, который его так и не заметит...:(",-1,0
"RT @basilla_the1st: @ProXolod @ponny1 статья так называется, ну а по смыслу статьи - скурвилась маня :(",-1,0
"Испортилось настроение:(    Мне иногда кажется,что ты хочешь сделать меня жирной коровой!.  Хотя я знаю,что ты только самое лучшее для меня.",-1,2
Подарите мне тыщ 5… мне на PS3 не хватает :( =ъ,-1,0
"Ужастное чувство,когда скучаешь по человеку,а увидеть или хотябы списаться сним нет возможности(",-1,0
Еще 4 с половиной часа работы.. А я уже так устала ;(,-1,0
RT @lu_in_the_sky: Острова 2014 скорее всего не будет((((( вот это печаль так печаль...,-1,0
RT @imoxuzedyp: забодался на работе.Даже Хауса смотреть не хочется:(,-1,0
@Ikhbayr хурдал л даа. 30 Мин хүлээлээшдээ :-((,-1,0
"блин оказывается фильм ""белый плен"" снимался пол уокер , не знала (",-1,0
RT @aleninini: хочу попроситься в овал орбиты(,-1,0
RT @fypeqywupaz: Вот и до меня добралась цивилизация — горячей воды нету(,-1,0
Первоначальный замысел перестановки в комнате не увенчался успехом из за совершенно левых факторов :С Пришлось все делать криво Х(,-1,0
Учитель по матану понизил мою самооценку:(,-1,0
"RT @AndrejVituskin1: #євромайдан Вы идиоты...хохлы,Европа всегда считала вас,неполноценными #чернаяпятница :-! http://t.co/ez74MQChJR",-1,3
"Мало того что я потеряла из-за него сережки, он их так и не нашел!!!!:((",-1,1
"RT @dojavuwovoxy: Блин, только что два джуйка косячных было! и не в одном не успела похихикать! :(",-1,0
@Nastya_Lubenets ахахах.блин не хочу делать призентацию(,-1,0
"@ZaynFollowMeU ну да! Мне нравится один парень из параллели. Я знаю что я ему нравлюсь, но он видимо стесняется ((((",-1,0
@Khinshtein  http://t.co/s96hmlKHQf как Вы считаете это нормальное поведение полиции?никогда не будет в стране нормально пока такие полицаи(,-1,1
"@alb_andreeva он у нас офигенный просто. но прикол в том,что в  прошлом году взял и женился,падла :(",-1,1
Так вот пришел третий сосед и дал нам пиздюлей :(,-1,1
"@MarinaMashirova ты забыла гематоген, а я забыл сделать чекин :((((",-1,0
"@mongrelcat13 температура это плохо, теперь по ходу на трен не скоро:((",-1,0
"ВОТ И СМОТРИ ПОСЛЕ ЭТОГО СЕРИАЛ, КОГДА ДРУЖИШЬ С ЖАЙКОЙ! ТУПАЯ :(",-1,1
очень не хватает вас((слезы наворачиваются когда вспоминаеш как нам было весело((,-1,0
"@dguryanov бред, притянутый за уши на потребу пиплу :(",-1,2
"RT @oksakov: Приехала домой, мне вообще плохо( Устала.",-1,0
"@Besserdechnaya блять, я уже это не помню(",-1,0
"RT @pyhapulymuxo: Ща на сайте при регистрации ввожу возраст. Чисто случайно выбираю 19. И только потом понимаю, что мне реально 19( Как быс",-1,0
"@curlyslipper Ханна Монтана ;(( да они расстались походу( она ж как шлюха себя ведет(( я б такую сразу кинула, чтоб не позорила(",-1,3
ну почему Дио не досталось высоких нот в мираклес ин десембер:( http://t.co/6VURLjzK7w,-1,0
"Я уже заебался на уроках сидеть, а еще на 2 пары идти :(",-1,0
Хочу уже домой( разговариваю с мамой и блииин ,-1,0
RT @gafubatyxyza: что-то собака моя хромает (,-1,0
Я в шоке от той модели что снялась в новом видео Лазарева!(,-1,2
"""Где бы ни работать, лишь бы не работать"" :(//  http://t.co/UIez6APho0",-1,0
Как бы завтра 5 уроков!!! Ужааас!! В субботу к 8 и еще 5 уроков:((,-1,0
@Shakalad73 опоздал на минуту((  но есть след вопрос о том сколько лет Елки Палки работают в Версале?,-1,0
"@ya_zoi Сегодня тоже столкнулся с этим, перекрыли почти весь красный проспект. А ещё всё это шоу такое наигранное(",-1,0
"Закар тусуется в Армении,а я здесь умираю от скуки(",-1,0
"И вот именно сейчас я осознала, как хочу увидеть Melotron. Не судьба, значит %(",-1,0
"RT @hitafijahul: Когда я научусь говорить ""нет"", я буду собой гордиться. Ненавижу, когда мне врут,а я еще и помогаю им.(",-1,0
"Безысходность - когда умер твой любимый...айфон, со всей памятью и фото(",-1,0
"Мне нравится свитер, но он стоит не прилично(( не надо так!",-1,0
"В ОТНОШЕНИИ  ХОДОРКОВСКОГО РАССЛЕДУЕТСЯ  НЕСКОЛЬКО УГОЛОВНЫХ  ДЕЛ,ТАК ОН ВРЯД ЛИ ПОДПАДЕТ ПОД АМНИСТИЮ - ГЕНПРОКУРАТУРА.Кто бы сомневался :(",-1,2
@anitakruspe печально что заряд одинаково фигово держится(,-1,0
RT @etynyhoxev: Довелось купить мне мак с лаионом :( Терь не могу снов поставить а на лаионе не работает то что мне нужно для работы.,-1,0
Надоело болеть :( И все планы порушились http://t.co/X6QNJC1Vk5,-1,0
@bear_Kurt хорошо потому что отменили 1 и последние уроки а плохо потому что мы кажись делене проиграли((,-1,0
В горизонте нигде нет чая с малиной!! Обидно :(,-1,0
"Кеша, отстань( #mtvstars 30 Seconds to Mars",-1,1
"с вадимом поеду сейчас в институт габричевского, на биологический факультет(  школа прасти",-1,0
"RT @xyvucyfybole: Зашел в RTM, а там таски за последний месяц пропали ((",-1,0
Много кто онлайн и не пишут Как так можно?(,-1,0
@Regina_Belvita  Неужели она закончит карьеру ((,-1,0
Похоже на красную звезду. :_( #InstantFollowback,-1,0
Из за погоды планы меняются походу еду с родителями (  пздц,-1,0
"Как ретвитить меня, так ок,а как оказалось что препод знает что такое твиттер,так все сразу заднюю дали и любят эконометрику (",-1,1
"@SavichDiana Мда, веселье через край у вас;(  Ну не то чтобы не умею просто не люблю я-_-",-1,0
"Обычно я шучу на темы, на которые шутить не положено(",-1,0
"@rachel___rachel вот так вот( надеюсь, меня не зарежут там , а то вдруг",-1,0
"@Zebulka Нет у нас снега.  Если уж пошло по капле уходить настроение, то  все!((((((((((((((((((((((((((((((((((((((((((",-1,0
Хоть я года три назад и писал микростатью на хабр про перевод программ с помощью gettext-а (,-1,0
Эвридэй стори. Все-таки сенсорные гаджеты зло:( http://t.co/aGI96mw8co,-1,0
"Не думала, что корица - дефицитный продукт :( Придется украшать свечи кофейными зернами...",-1,0
День просто супер:( http://t.co/crlqAuLBY6,-1,0
RT @nadytutuqiw: Так и не нашел свой sega. А так хотелось во что нить поиграть :-(,-1,0
@MAXIMOV69 @Never525 Вот так и живем 20 лет с основным законом страны:-(,-1,0
Меня хоть кто то любит?((((((((((((((((((,-1,0
RT @ollivercom: @DariaClever спиздил мои слова :-(,-1,1
"Завтра для меня сложный день, я так боюсь олимпиаду :(",-1,0
"я как и обычно не подумала о последствиях,меня это губит(",-1,0
@maxseddon дошел с ними до арсенальной. отвалил. правлсавие мозга(,-1,2
Бабулю жалко:( Как и говорили получается(,-1,0
"Тимоша заболел((позвонил врачу, а его нет(((",-1,0
"Скоро день рождение,а настроение вовсе не праздничное(",-1,0
RT @pajefitygaw: Халявность платного софта явно сдерживает рост опенсурса и добавляет нехилую головную боль админам :(,-1,0
"Сегодня была сьемки мега-фильма. Мы были массовкой для Александра. Актеры, у которых еще нет Оскара :(",-1,0
"Папа: -хорошо тебе, завтра в школу идти, а вот мне спать до обеда  Спасибо :(",-1,0
"Вот черт. Автобус долго ждала, пробки везде, а Ками меня ждет(((",-1,0
RT @rowugonamilege: Скоро любимый уйдёт в армию(((Буду его ждать!!!Слышишь любимый!!!Я буду тебя ждать!!!Чего б,-1,0
"Блин,горлышко болит(((заболела(((((капец,больная(((((",-1,0
Я все пропустила только потому что выпила немного кофе!  За что это все? ((,-1,0
"А потом так грустно А ТЫ НЕ ЗВОНИШЬ ДАЖЕ КОГДА ВЫПЬЕШЬ :,(",-1,0
Отпускает по-тихонечку. Надо срочно ехать домой чутка поспать 5 часов сна на 60 часов времени как-то мало*( http://t.co/lvVec7mHNI,-1,0
"RT @galusaa: Оо.оказывается этот Уокер снимался в Белом плене.фильм,где я рыдала захлебываясь из-за собак:( хороший очень.",-1,0
"@Uli_Ameli у меня складывается мнение, что там уже весь Могилев перебывал. Кроме меня(((",-1,0
"клиентами, значик они вообще им не надобны((((",-1,0
Mistletoe UK!!! X Factor this week. Mistletoe Я правильно зрозуміла???Бобер приїде в україну о_О,-1,0
"@arx_katya да щас не смогу,уроки по-бырику,потом в центр :(",-1,0
"сколько можно меня мучить,вновь и вновь возвращая меня к тому от чего я пытаюсь уйти:(",-1,0
"RT @muhuryjodo: ребёнок, который уснул с яблоком в руке, визуально не особо отличается от ребёнка, который подавился яблоком и умер (",-1,0
"хватило ж ума на удаленном компе запустить торрент-качалку. все, до него не достучаться :(",-1,0
"Через 14 дней сессия начинается, а мне бы н/б хотя бы закрыть :`(",-1,0
Впервые в жизни надела шпильки 25 см...о боже...как же я хочу надеть их...но рост не позволяет:(,-1,0
"@_P_M_M_L_ мне не лень, просто я одна буду всё решать(( Типо я самая умная..(",-1,0
собираем в коробки вещи(( они завтра переезжают((,-1,0
"@duckthemall называю Дженнифер Дже, а на письме даже Дж(",-1,0
"@teplusha_  добротаа это как раздача конфет с пожеланиями, в итоге тебя кто - нибудь пошлет и проклянет(",-1,0
@stripedfairy *ООООО* я тоже хочу быть блондинкой тт и розовые волосы хочу тт но чет прям боюсь сжечь их(( хотя люди красятся и ничего,-1,0
"@Lina_Zvukach у кого зачетная неделя заканчивается, пока он в Сочи, тот я:(",-1,0
эта лекция по робототехнике просто убийственно нудная ;((((((((((((((((((((,-1,0
"когда ночую у тети,всегда хочется прихлопнуть ее кота.Как же он орет по ночам и не дает поспать!!!(((",-1,0
"RT @farry_tai: Когда-нибудь я похудею,но это уже совсем другая история(",-1,0
Как делать историю. Ведь даже в интернете такого нет :(,-1,0
— как мне это развидеть.. ;( скофилд в гробу перевернется...,-1,0
пооч я не программист????пж сделайте кто нибудь мне ноут(((((((((,-1,0
"RT @tasagufuxuw: Скажите, что Arakawa Under the Bridge — это не бред! Я его боюсь смотреть. =(",-1,0
@Marilinka да ужасно всё(у нас теперь всё по баллам. все зачеты и промежуточные аттестации влияют на стипендию((,-1,0
У меня сегодня в школе отжали часы и не отдаю!!! Я по ним очень сучаю((( верните их мне,-1,0
что-то я забросила свой тамблер( надо засрать ленту:3,-1,0
RT @Nkllapa: Мдааа большинство просто забыли или не знали :(((,-1,0
"@alenasheyanova Не помню, чтобы я в прошлый раз болела :(",-1,0
мой твиттер тупит :(   #mtvstars Justin Bieber,-1,0
"RT @16believe19: @HORAN_NlALL @graciemitchie блин, а я только обрадовалась что он не умер :((",-1,0
"Никогда не любила всякие реалити, но Американский жених просто нечто, сегодня последняя серия(",-1,0
"@vete_al_diablo полное наебалово, в ""Связном"" нельзя ойфон или PS4 купить со скидкой=(",-1,2
Хотел посмотреть на symfony..теперь сижу и думаю какой профит у symfony перед yii и захрена мне ее учить о_О,-1,0
Как таких красоток могли не пустить?:-( http://t.co/tVTxtXAPQM,-1,0
"почему так всё не справедливо?!(( у Вовки днюха, а я поехать не могу(((",-1,0
"RT @byBo_OM: Америка стала такой возбужденной и нервной, что уже многие годы я не видел прихожанина, который спит в церкви.",-1,0
"Остановилась на трех вариантах для него,но что выбрать понятия не имею, и что ему нравится тоже не знаю:( http://t.co/JJRpiFIpBS",-1,0
Дорсай и Эльфа тоже не будет((( я по ним так скучаю,-1,0
"Опять нет работы, что я делаю не так...:(",-1,0
"@5kg_intellekta Оль, говорят абонент хаблокирован((",-1,0
"жаль, что не написал записки для #helloday заранее, вышло бы куда лучше. Да ещё и не успел ни на одну ответить :( #lyceumbsu",-1,0
Какой будет эта зима? — скучной..( http://t.co/gtMiKLgcEZ,-1,0
Карима Нигматулина выступает на #MUF2013. Выглядит уставшей =( http://t.co/I4D15SqQFj,-1,0
"Тошнит, голова болит,  состояние дрянь,  работы дофига......зашибись пятница!!!! (((",-1,2
@umnitsa_julia ещё и ребёнка вперёд посадила...Полный пипец!(,-1,2
@yufins совсем тви забросил.Не пишет ничего:(,-1,0
Очень было стыдно перед классным руководителем!(,-1,0
RT @1eksandr: Из меня блогер еще никакой(,-1,0
"-Ир ,сегодня работы не будет ,можно поспать и в почте только 3 заявки. Так всегда прошел час -Дамир,ты накаркал  -ага(((  конец ахахах",-1,0
"Сквозь пыль веков, нашла блокнотик с 8 класса, а в нем записка  ""Give unto me your troubles"". Заплакала( #np Evanescence – Give Unto Me",-1,0
пропустила биатлон!!(( бляяя..как могла забыть?,-1,0
http://t.co/FaTsB05p71 но эта сука даже не пришла на его похороны:((,-1,3
А еще я всё это фоткала на свой планшик и теперь пребываю в крайней печали тк лишаюсь возможности выложить такие произведения искусства(,-1,0
"Ну вот,теперь и идти завтра никуда не хочется,желание пропало..((",-1,0
За пять лет студенчества я успел возненавидеть колбасу и пельмени. говно (,-1,0
Как же хочется спать!!!4 дня как не знаю кто(((,-1,0
некоторые не смогут приехать((народу не много будет,-1,0
@Helenav_97 а вдруг  со мной что-нибудь случится ?:(,-1,0
Очень-очень скуШно((( Чем заняться?????????????,-1,0
@lion_banka а у меня из эппл даже компота нет((,-1,0
я так давно ждала этого дня! А ты не пришла(,-1,0
"она вас не хотела обидеть, родные мои :""(",-1,0
RT @weweramu: в кошельке вместо денег одни чеки!(((и спрашивается куда деньги делись???,-1,1
@niechunaieval да ей помоему хуже нас будет(,-1,0
"Все сегодняшние планы нарушились,зато хоть зарплату забрал,хотя и там не обошлось без говна и плохо,что ее всю придется отдать(((",-1,0
"я так хочу плакать. ужасно хочу плакать. ненавижу такой немецкий, который будет завтра. и я устала.  я все сказала(((",-1,0
"@Adele_Tok аххахахаха я я пророка на 3 рассказал((( вот это обидно а его легко выучить представт, что это твой бывший который тебя бросил",-1,0
Ээмм..какое то странное чувство... Прости:(,-1,0
